,answer,left_method,participant,right_method,test_case
0,fmgoat,korhonen,e148bf61-30f3-48dc-9732-c5b3f525142a,fmgoat,5906203942
1,fmgoat,fmgoat,e148bf61-30f3-48dc-9732-c5b3f525142a,stadv,4842717407
2,zhang,zhang,e148bf61-30f3-48dc-9732-c5b3f525142a,ifgsm,5906203942
3,fmgoat,fmgoat,e148bf61-30f3-48dc-9732-c5b3f525142a,stadv,4842717407
4,fmgoat,stadv,e148bf61-30f3-48dc-9732-c5b3f525142a,fmgoat,4842717407
5,fmgoat,korhonen,e148bf61-30f3-48dc-9732-c5b3f525142a,fmgoat,5906203942
6,fmgoat,fmgoat,e148bf61-30f3-48dc-9732-c5b3f525142a,zhang,5906203942
7,clear,clear,e148bf61-30f3-48dc-9732-c5b3f525142a,fmgoat,5906203942
8,clear,fmgoat,e148bf61-30f3-48dc-9732-c5b3f525142a,clear,5906203942
9,good,bad,e148bf61-30f3-48dc-9732-c5b3f525142a,good,v2
10,clear,fmgoat,e148bf61-30f3-48dc-9732-c5b3f525142a,clear,5906203942
11,korhonen,korhonen,e148bf61-30f3-48dc-9732-c5b3f525142a,zhang,5906203942
12,fmgoat,fmgoat,e148bf61-30f3-48dc-9732-c5b3f525142a,korhonen,5906203942
13,clear,clear,e148bf61-30f3-48dc-9732-c5b3f525142a,fmgoat,5906203942
14,fmgoat,fmgoat,e148bf61-30f3-48dc-9732-c5b3f525142a,korhonen,5906203942
15,zhang,zhang,e148bf61-30f3-48dc-9732-c5b3f525142a,ifgsm,5906203942
16,fmgoat,fmgoat,e148bf61-30f3-48dc-9732-c5b3f525142a,stadv,4842717407
17,zhang,ifgsm,e148bf61-30f3-48dc-9732-c5b3f525142a,zhang,5906203942
18,good,good,e148bf61-30f3-48dc-9732-c5b3f525142a,bad,v1
19,fmgoat,fmgoat,e148bf61-30f3-48dc-9732-c5b3f525142a,zhang,5906203942
20,fmgoat,zhang,e148bf61-30f3-48dc-9732-c5b3f525142a,fmgoat,5906203942
21,good,good,e148bf61-30f3-48dc-9732-c5b3f525142a,bad,v5
22,ifgsm,ifgsm,e148bf61-30f3-48dc-9732-c5b3f525142a,stadv,5906203942
23,zhang,stadv,e148bf61-30f3-48dc-9732-c5b3f525142a,zhang,5906203942
24,,korhonen,e148bf61-30f3-48dc-9732-c5b3f525142a,zhang,5906203942
25,good,good,4d0d51b2-a8b7-4fac-a80b-1a54375bca6a,bad,v4
26,fmgoat,ifgsm,4d0d51b2-a8b7-4fac-a80b-1a54375bca6a,fmgoat,5906203942
27,fmgoat,fmgoat,4d0d51b2-a8b7-4fac-a80b-1a54375bca6a,stadv,4842717407
28,korhonen,korhonen,4d0d51b2-a8b7-4fac-a80b-1a54375bca6a,stadv,5906203942
29,clear,clear,4d0d51b2-a8b7-4fac-a80b-1a54375bca6a,zhang,5906203942
30,fmgoat,ifgsm,4d0d51b2-a8b7-4fac-a80b-1a54375bca6a,fmgoat,5906203942
31,korhonen,korhonen,4d0d51b2-a8b7-4fac-a80b-1a54375bca6a,stadv,5906203942
32,clear,clear,4d0d51b2-a8b7-4fac-a80b-1a54375bca6a,zhang,5906203942
33,clear,clear,4d0d51b2-a8b7-4fac-a80b-1a54375bca6a,zhang,5906203942
34,korhonen,korhonen,4d0d51b2-a8b7-4fac-a80b-1a54375bca6a,stadv,5906203942
35,clear,clear,4d0d51b2-a8b7-4fac-a80b-1a54375bca6a,zhang,5906203942
36,good,bad,4d0d51b2-a8b7-4fac-a80b-1a54375bca6a,good,v3
37,good,bad,4d0d51b2-a8b7-4fac-a80b-1a54375bca6a,good,v2
38,fmgoat,fmgoat,4d0d51b2-a8b7-4fac-a80b-1a54375bca6a,ifgsm,5906203942
39,korhonen,korhonen,4d0d51b2-a8b7-4fac-a80b-1a54375bca6a,stadv,5906203942
40,fmgoat,fmgoat,4d0d51b2-a8b7-4fac-a80b-1a54375bca6a,zhang,3697493807
41,fmgoat,ifgsm,4d0d51b2-a8b7-4fac-a80b-1a54375bca6a,fmgoat,5906203942
42,fmgoat,ifgsm,4d0d51b2-a8b7-4fac-a80b-1a54375bca6a,fmgoat,5906203942
43,clear,clear,4d0d51b2-a8b7-4fac-a80b-1a54375bca6a,zhang,5906203942
44,fmgoat,fmgoat,4d0d51b2-a8b7-4fac-a80b-1a54375bca6a,zhang,3697493807
45,zhang,stadv,4d0d51b2-a8b7-4fac-a80b-1a54375bca6a,zhang,4842717407
46,fmgoat,zhang,4d0d51b2-a8b7-4fac-a80b-1a54375bca6a,fmgoat,3697493807
47,korhonen,korhonen,4d0d51b2-a8b7-4fac-a80b-1a54375bca6a,stadv,5906203942
48,,stadv,4d0d51b2-a8b7-4fac-a80b-1a54375bca6a,fmgoat,4842717407
49,,zhang,4d0d51b2-a8b7-4fac-a80b-1a54375bca6a,clear,5906203942
50,zhang,stadv,6c19ae2b-218a-4e2b-8ef8-f176d31dff1b,zhang,4842717407
51,fmgoat,fmgoat,6c19ae2b-218a-4e2b-8ef8-f176d31dff1b,ifgsm,5906203942
52,zhang,zhang,6c19ae2b-218a-4e2b-8ef8-f176d31dff1b,stadv,4842717407
53,clear,clear,6c19ae2b-218a-4e2b-8ef8-f176d31dff1b,zhang,5906203942
54,fmgoat,ifgsm,6c19ae2b-218a-4e2b-8ef8-f176d31dff1b,fmgoat,5906203942
55,fmgoat,fmgoat,6c19ae2b-218a-4e2b-8ef8-f176d31dff1b,ifgsm,5906203942
56,fmgoat,stadv,6c19ae2b-218a-4e2b-8ef8-f176d31dff1b,fmgoat,4842717407
57,korhonen,korhonen,6c19ae2b-218a-4e2b-8ef8-f176d31dff1b,stadv,5906203942
58,fmgoat,fmgoat,6c19ae2b-218a-4e2b-8ef8-f176d31dff1b,ifgsm,5906203942
59,fmgoat,fmgoat,6c19ae2b-218a-4e2b-8ef8-f176d31dff1b,zhang,3697493807
60,korhonen,stadv,6c19ae2b-218a-4e2b-8ef8-f176d31dff1b,korhonen,5906203942
61,fmgoat,ifgsm,6c19ae2b-218a-4e2b-8ef8-f176d31dff1b,fmgoat,5906203942
62,fmgoat,ifgsm,6c19ae2b-218a-4e2b-8ef8-f176d31dff1b,fmgoat,5906203942
63,good,good,6c19ae2b-218a-4e2b-8ef8-f176d31dff1b,bad,v4
64,good,good,6c19ae2b-218a-4e2b-8ef8-f176d31dff1b,bad,v4
65,fmgoat,ifgsm,6c19ae2b-218a-4e2b-8ef8-f176d31dff1b,fmgoat,5906203942
66,korhonen,korhonen,6c19ae2b-218a-4e2b-8ef8-f176d31dff1b,stadv,5906203942
67,fmgoat,fmgoat,6c19ae2b-218a-4e2b-8ef8-f176d31dff1b,stadv,4842717407
68,clear,zhang,6c19ae2b-218a-4e2b-8ef8-f176d31dff1b,clear,5906203942
69,korhonen,korhonen,6c19ae2b-218a-4e2b-8ef8-f176d31dff1b,stadv,5906203942
70,zhang,stadv,6c19ae2b-218a-4e2b-8ef8-f176d31dff1b,zhang,4842717407
71,good,good,6c19ae2b-218a-4e2b-8ef8-f176d31dff1b,bad,v2
72,fmgoat,ifgsm,6c19ae2b-218a-4e2b-8ef8-f176d31dff1b,fmgoat,5906203942
73,korhonen,stadv,6c19ae2b-218a-4e2b-8ef8-f176d31dff1b,korhonen,5906203942
74,fmgoat,fmgoat,6c19ae2b-218a-4e2b-8ef8-f176d31dff1b,zhang,3697493807
75,clear,clear,673c095c-b516-40eb-a719-3117fdd03757,zhang,5906203942
76,korhonen,stadv,673c095c-b516-40eb-a719-3117fdd03757,korhonen,5906203942
77,korhonen,stadv,673c095c-b516-40eb-a719-3117fdd03757,korhonen,5906203942
78,korhonen,korhonen,673c095c-b516-40eb-a719-3117fdd03757,stadv,5906203942
79,korhonen,korhonen,673c095c-b516-40eb-a719-3117fdd03757,stadv,5906203942
80,korhonen,korhonen,673c095c-b516-40eb-a719-3117fdd03757,stadv,5906203942
81,good,good,673c095c-b516-40eb-a719-3117fdd03757,bad,v3
82,fmgoat,ifgsm,673c095c-b516-40eb-a719-3117fdd03757,fmgoat,5906203942
83,zhang,stadv,673c095c-b516-40eb-a719-3117fdd03757,zhang,4842717407
84,fmgoat,ifgsm,673c095c-b516-40eb-a719-3117fdd03757,fmgoat,5906203942
85,zhang,zhang,673c095c-b516-40eb-a719-3117fdd03757,stadv,4842717407
86,zhang,stadv,673c095c-b516-40eb-a719-3117fdd03757,zhang,4842717407
87,zhang,zhang,673c095c-b516-40eb-a719-3117fdd03757,stadv,4842717407
88,clear,clear,673c095c-b516-40eb-a719-3117fdd03757,zhang,5906203942
89,good,good,673c095c-b516-40eb-a719-3117fdd03757,bad,v1
90,korhonen,korhonen,673c095c-b516-40eb-a719-3117fdd03757,stadv,5906203942
91,korhonen,korhonen,673c095c-b516-40eb-a719-3117fdd03757,stadv,5906203942
92,korhonen,stadv,673c095c-b516-40eb-a719-3117fdd03757,korhonen,5906203942
93,fmgoat,ifgsm,673c095c-b516-40eb-a719-3117fdd03757,fmgoat,5906203942
94,clear,clear,673c095c-b516-40eb-a719-3117fdd03757,zhang,5906203942
95,korhonen,korhonen,673c095c-b516-40eb-a719-3117fdd03757,stadv,5906203942
96,fmgoat,fmgoat,673c095c-b516-40eb-a719-3117fdd03757,ifgsm,5906203942
97,fmgoat,ifgsm,673c095c-b516-40eb-a719-3117fdd03757,fmgoat,5906203942
98,good,good,673c095c-b516-40eb-a719-3117fdd03757,bad,v3
99,korhonen,stadv,673c095c-b516-40eb-a719-3117fdd03757,korhonen,5906203942
100,fmgoat,fmgoat,6565ea4b-32a3-4a57-848d-c803b47a6b17,stadv,2640025600
101,fmgoat,zhang,6565ea4b-32a3-4a57-848d-c803b47a6b17,fmgoat,4424481742
102,ifgsm,ifgsm,6565ea4b-32a3-4a57-848d-c803b47a6b17,stadv,4424481742
103,,korhonen,6565ea4b-32a3-4a57-848d-c803b47a6b17,zhang,4424481742
104,,zhang,6565ea4b-32a3-4a57-848d-c803b47a6b17,korhonen,4424481742
105,fmgoat,zhang,6565ea4b-32a3-4a57-848d-c803b47a6b17,fmgoat,4424481742
106,good,good,6565ea4b-32a3-4a57-848d-c803b47a6b17,bad,v4
107,fmgoat,fmgoat,6565ea4b-32a3-4a57-848d-c803b47a6b17,zhang,4424481742
108,fmgoat,fmgoat,6565ea4b-32a3-4a57-848d-c803b47a6b17,stadv,2640025600
109,fmgoat,fmgoat,6565ea4b-32a3-4a57-848d-c803b47a6b17,stadv,2640025600
110,,zhang,6565ea4b-32a3-4a57-848d-c803b47a6b17,korhonen,4424481742
111,ifgsm,stadv,6565ea4b-32a3-4a57-848d-c803b47a6b17,ifgsm,4424481742
112,fmgoat,zhang,6565ea4b-32a3-4a57-848d-c803b47a6b17,fmgoat,4424481742
113,fmgoat,zhang,6565ea4b-32a3-4a57-848d-c803b47a6b17,fmgoat,4424481742
114,ifgsm,ifgsm,6565ea4b-32a3-4a57-848d-c803b47a6b17,stadv,4424481742
115,,zhang,6565ea4b-32a3-4a57-848d-c803b47a6b17,korhonen,4424481742
116,ifgsm,ifgsm,6565ea4b-32a3-4a57-848d-c803b47a6b17,stadv,4424481742
117,fmgoat,stadv,6565ea4b-32a3-4a57-848d-c803b47a6b17,fmgoat,2640025600
118,,zhang,6565ea4b-32a3-4a57-848d-c803b47a6b17,korhonen,4424481742
119,fmgoat,fmgoat,6565ea4b-32a3-4a57-848d-c803b47a6b17,korhonen,3697493807
120,fmgoat,stadv,6565ea4b-32a3-4a57-848d-c803b47a6b17,fmgoat,2640025600
121,good,bad,6565ea4b-32a3-4a57-848d-c803b47a6b17,good,v4
122,fmgoat,fmgoat,6565ea4b-32a3-4a57-848d-c803b47a6b17,zhang,4424481742
123,good,good,6565ea4b-32a3-4a57-848d-c803b47a6b17,bad,v7
124,ifgsm,ifgsm,6565ea4b-32a3-4a57-848d-c803b47a6b17,stadv,4424481742
125,,stadv,9448b20c-2c07-449d-8ef0-8b62c620512f,ifgsm,4424481742
126,fmgoat,fmgoat,9448b20c-2c07-449d-8ef0-8b62c620512f,zhang,4424481742
127,good,good,9448b20c-2c07-449d-8ef0-8b62c620512f,bad,v3
128,,stadv,9448b20c-2c07-449d-8ef0-8b62c620512f,ifgsm,4424481742
129,ifgsm,stadv,9448b20c-2c07-449d-8ef0-8b62c620512f,ifgsm,4424481742
130,fmgoat,stadv,9448b20c-2c07-449d-8ef0-8b62c620512f,fmgoat,2640025600
131,,stadv,9448b20c-2c07-449d-8ef0-8b62c620512f,fmgoat,2640025600
132,fmgoat,zhang,9448b20c-2c07-449d-8ef0-8b62c620512f,fmgoat,4424481742
133,fmgoat,fmgoat,9448b20c-2c07-449d-8ef0-8b62c620512f,zhang,4424481742
134,good,bad,9448b20c-2c07-449d-8ef0-8b62c620512f,good,v3
135,zhang,zhang,9448b20c-2c07-449d-8ef0-8b62c620512f,ifgsm,3697493807
136,,stadv,9448b20c-2c07-449d-8ef0-8b62c620512f,fmgoat,2640025600
137,fmgoat,zhang,9448b20c-2c07-449d-8ef0-8b62c620512f,fmgoat,4424481742
138,ifgsm,stadv,9448b20c-2c07-449d-8ef0-8b62c620512f,ifgsm,4424481742
139,ifgsm,ifgsm,9448b20c-2c07-449d-8ef0-8b62c620512f,stadv,4424481742
140,fmgoat,fmgoat,9448b20c-2c07-449d-8ef0-8b62c620512f,stadv,2640025600
141,ifgsm,stadv,9448b20c-2c07-449d-8ef0-8b62c620512f,ifgsm,4424481742
142,good,good,9448b20c-2c07-449d-8ef0-8b62c620512f,bad,v5
143,ifgsm,stadv,9448b20c-2c07-449d-8ef0-8b62c620512f,ifgsm,4424481742
144,,korhonen,9448b20c-2c07-449d-8ef0-8b62c620512f,zhang,4424481742
145,,stadv,9448b20c-2c07-449d-8ef0-8b62c620512f,fmgoat,2640025600
146,,ifgsm,9448b20c-2c07-449d-8ef0-8b62c620512f,stadv,4424481742
147,,fmgoat,9448b20c-2c07-449d-8ef0-8b62c620512f,stadv,2640025600
148,,fmgoat,9448b20c-2c07-449d-8ef0-8b62c620512f,stadv,2640025600
149,,fmgoat,9448b20c-2c07-449d-8ef0-8b62c620512f,stadv,2640025600
150,zhang,zhang,30842fa5-82b2-411e-a281-b193bd37b38a,ifgsm,3697493807
151,korhonen,zhang,30842fa5-82b2-411e-a281-b193bd37b38a,korhonen,4424481742
152,zhang,fmgoat,30842fa5-82b2-411e-a281-b193bd37b38a,zhang,4424481742
153,stadv,fmgoat,30842fa5-82b2-411e-a281-b193bd37b38a,stadv,2640025600
154,ifgsm,stadv,30842fa5-82b2-411e-a281-b193bd37b38a,ifgsm,4424481742
155,fmgoat,stadv,30842fa5-82b2-411e-a281-b193bd37b38a,fmgoat,2640025600
156,fmgoat,stadv,30842fa5-82b2-411e-a281-b193bd37b38a,fmgoat,2640025600
157,korhonen,zhang,30842fa5-82b2-411e-a281-b193bd37b38a,korhonen,4424481742
158,korhonen,korhonen,30842fa5-82b2-411e-a281-b193bd37b38a,zhang,4424481742
159,good,bad,30842fa5-82b2-411e-a281-b193bd37b38a,good,v1
160,fmgoat,zhang,30842fa5-82b2-411e-a281-b193bd37b38a,fmgoat,4424481742
161,fmgoat,fmgoat,30842fa5-82b2-411e-a281-b193bd37b38a,zhang,4424481742
162,good,good,30842fa5-82b2-411e-a281-b193bd37b38a,bad,v3
163,ifgsm,stadv,30842fa5-82b2-411e-a281-b193bd37b38a,ifgsm,4424481742
164,fmgoat,stadv,30842fa5-82b2-411e-a281-b193bd37b38a,fmgoat,2640025600
165,ifgsm,stadv,30842fa5-82b2-411e-a281-b193bd37b38a,ifgsm,4424481742
166,good,bad,30842fa5-82b2-411e-a281-b193bd37b38a,good,v5
167,,zhang,30842fa5-82b2-411e-a281-b193bd37b38a,korhonen,4424481742
168,fmgoat,fmgoat,30842fa5-82b2-411e-a281-b193bd37b38a,stadv,2640025600
169,zhang,zhang,30842fa5-82b2-411e-a281-b193bd37b38a,fmgoat,4424481742
170,zhang,fmgoat,30842fa5-82b2-411e-a281-b193bd37b38a,zhang,4424481742
171,ifgsm,ifgsm,30842fa5-82b2-411e-a281-b193bd37b38a,stadv,4424481742
172,,zhang,30842fa5-82b2-411e-a281-b193bd37b38a,korhonen,4424481742
173,,ifgsm,30842fa5-82b2-411e-a281-b193bd37b38a,zhang,3697493807
174,,zhang,30842fa5-82b2-411e-a281-b193bd37b38a,korhonen,4424481742
175,ifgsm,ifgsm,da0f3c95-324b-48cb-9cc5-fc52924be75f,stadv,3697493807
176,zhang,stadv,da0f3c95-324b-48cb-9cc5-fc52924be75f,zhang,2909358760
177,good,bad,da0f3c95-324b-48cb-9cc5-fc52924be75f,good,v7
178,zhang,zhang,da0f3c95-324b-48cb-9cc5-fc52924be75f,stadv,8351568109
179,fmgoat,fmgoat,da0f3c95-324b-48cb-9cc5-fc52924be75f,ifgsm,2909358760
180,ifgsm,stadv,da0f3c95-324b-48cb-9cc5-fc52924be75f,ifgsm,3697493807
181,zhang,stadv,da0f3c95-324b-48cb-9cc5-fc52924be75f,zhang,8351568109
182,good,bad,da0f3c95-324b-48cb-9cc5-fc52924be75f,good,v4
183,zhang,zhang,da0f3c95-324b-48cb-9cc5-fc52924be75f,stadv,2909358760
184,ifgsm,stadv,da0f3c95-324b-48cb-9cc5-fc52924be75f,ifgsm,3697493807
185,ifgsm,ifgsm,da0f3c95-324b-48cb-9cc5-fc52924be75f,stadv,3697493807
186,clear,clear,da0f3c95-324b-48cb-9cc5-fc52924be75f,ifgsm,8639759293
187,ifgsm,stadv,da0f3c95-324b-48cb-9cc5-fc52924be75f,ifgsm,3697493807
188,zhang,stadv,da0f3c95-324b-48cb-9cc5-fc52924be75f,zhang,2909358760
189,clear,clear,da0f3c95-324b-48cb-9cc5-fc52924be75f,stadv,2909358760
190,ifgsm,ifgsm,da0f3c95-324b-48cb-9cc5-fc52924be75f,stadv,3697493807
191,fmgoat,fmgoat,da0f3c95-324b-48cb-9cc5-fc52924be75f,korhonen,2909358760
192,zhang,zhang,da0f3c95-324b-48cb-9cc5-fc52924be75f,stadv,2909358760
193,ifgsm,ifgsm,da0f3c95-324b-48cb-9cc5-fc52924be75f,stadv,3697493807
194,ifgsm,ifgsm,da0f3c95-324b-48cb-9cc5-fc52924be75f,stadv,3697493807
195,fmgoat,fmgoat,da0f3c95-324b-48cb-9cc5-fc52924be75f,korhonen,2909358760
196,good,bad,da0f3c95-324b-48cb-9cc5-fc52924be75f,good,v3
197,clear,clear,da0f3c95-324b-48cb-9cc5-fc52924be75f,stadv,2909358760
198,ifgsm,fmgoat,da0f3c95-324b-48cb-9cc5-fc52924be75f,ifgsm,2909358760
199,clear,clear,da0f3c95-324b-48cb-9cc5-fc52924be75f,stadv,2909358760
200,good,bad,06189408-3d71-481e-83b5-a1a375e2833f,good,v6
201,ifgsm,stadv,06189408-3d71-481e-83b5-a1a375e2833f,ifgsm,3697493807
202,zhang,stadv,06189408-3d71-481e-83b5-a1a375e2833f,zhang,8351568109
203,good,bad,06189408-3d71-481e-83b5-a1a375e2833f,good,v3
204,fmgoat,korhonen,06189408-3d71-481e-83b5-a1a375e2833f,fmgoat,2909358760
205,fmgoat,korhonen,06189408-3d71-481e-83b5-a1a375e2833f,fmgoat,2909358760
206,stadv,stadv,06189408-3d71-481e-83b5-a1a375e2833f,zhang,2909358760
207,zhang,stadv,06189408-3d71-481e-83b5-a1a375e2833f,zhang,8351568109
208,clear,stadv,06189408-3d71-481e-83b5-a1a375e2833f,clear,2909358760
209,fmgoat,korhonen,06189408-3d71-481e-83b5-a1a375e2833f,fmgoat,2909358760
210,clear,clear,06189408-3d71-481e-83b5-a1a375e2833f,stadv,2909358760
211,fmgoat,korhonen,06189408-3d71-481e-83b5-a1a375e2833f,fmgoat,2909358760
212,zhang,stadv,06189408-3d71-481e-83b5-a1a375e2833f,zhang,8351568109
213,ifgsm,ifgsm,06189408-3d71-481e-83b5-a1a375e2833f,stadv,3697493807
214,fmgoat,korhonen,06189408-3d71-481e-83b5-a1a375e2833f,fmgoat,2909358760
215,ifgsm,stadv,06189408-3d71-481e-83b5-a1a375e2833f,ifgsm,3697493807
216,zhang,zhang,06189408-3d71-481e-83b5-a1a375e2833f,stadv,8351568109
217,zhang,stadv,06189408-3d71-481e-83b5-a1a375e2833f,zhang,2909358760
218,clear,stadv,06189408-3d71-481e-83b5-a1a375e2833f,clear,2909358760
219,zhang,stadv,06189408-3d71-481e-83b5-a1a375e2833f,zhang,2909358760
220,clear,clear,06189408-3d71-481e-83b5-a1a375e2833f,stadv,2909358760
221,good,good,06189408-3d71-481e-83b5-a1a375e2833f,bad,v6
222,zhang,stadv,06189408-3d71-481e-83b5-a1a375e2833f,zhang,8351568109
223,ifgsm,stadv,06189408-3d71-481e-83b5-a1a375e2833f,ifgsm,3697493807
224,ifgsm,ifgsm,06189408-3d71-481e-83b5-a1a375e2833f,stadv,3697493807
225,zhang,zhang,b2ffa8a7-4304-4e2c-a72f-b4eefb4b961c,stadv,2909358760
226,zhang,zhang,b2ffa8a7-4304-4e2c-a72f-b4eefb4b961c,stadv,2909358760
227,zhang,stadv,b2ffa8a7-4304-4e2c-a72f-b4eefb4b961c,zhang,2909358760
228,zhang,zhang,b2ffa8a7-4304-4e2c-a72f-b4eefb4b961c,stadv,2909358760
229,ifgsm,ifgsm,b2ffa8a7-4304-4e2c-a72f-b4eefb4b961c,stadv,3697493807
230,korhonen,fmgoat,b2ffa8a7-4304-4e2c-a72f-b4eefb4b961c,korhonen,2909358760
231,zhang,zhang,b2ffa8a7-4304-4e2c-a72f-b4eefb4b961c,stadv,8351568109
232,zhang,zhang,b2ffa8a7-4304-4e2c-a72f-b4eefb4b961c,stadv,2909358760
233,ifgsm,ifgsm,b2ffa8a7-4304-4e2c-a72f-b4eefb4b961c,stadv,3697493807
234,zhang,stadv,b2ffa8a7-4304-4e2c-a72f-b4eefb4b961c,zhang,8351568109
235,clear,ifgsm,b2ffa8a7-4304-4e2c-a72f-b4eefb4b961c,clear,8639759293
236,korhonen,fmgoat,b2ffa8a7-4304-4e2c-a72f-b4eefb4b961c,korhonen,2909358760
237,ifgsm,clear,b2ffa8a7-4304-4e2c-a72f-b4eefb4b961c,ifgsm,8639759293
238,zhang,zhang,b2ffa8a7-4304-4e2c-a72f-b4eefb4b961c,stadv,2909358760
239,good,bad,b2ffa8a7-4304-4e2c-a72f-b4eefb4b961c,good,v3
240,ifgsm,stadv,b2ffa8a7-4304-4e2c-a72f-b4eefb4b961c,ifgsm,3697493807
241,good,good,b2ffa8a7-4304-4e2c-a72f-b4eefb4b961c,bad,v2
242,fmgoat,fmgoat,b2ffa8a7-4304-4e2c-a72f-b4eefb4b961c,ifgsm,2909358760
243,korhonen,fmgoat,b2ffa8a7-4304-4e2c-a72f-b4eefb4b961c,korhonen,2909358760
